origin,destination,distance
10014022354,OX128HS,54.45181356024793
10014029220,OX129BJ,16.1245154965971
100120936914,OX128DN,15.556349186104045
10015734172,SN7 8NT,206.79477169407457
100120909016,OX141DQ,93.72299611087985
100120897621,OX141XB,49.47726750741192
10014022487,OX128PG,17.88854381999832
10094280978,OX127FY,173.62315513778685
100120919111,OX2 9PS,15.231546211727817
100120898588,OX144DD,14.866068747318506
10014021466,OX110TQ,268.41944787961995
100120926099,OX120QJ,29.427877939124322
10090581134,OX135FQ,39.08814909918965
10090579663,OX2 9GQ,11.583129974232836
100120915045,OX119NU,24.186773244895647
10093197000,OX116FZ,79.39371826539006
100120905706,OX141XN,58.78036747075805
10014072940,OX129JL,48.010415536631214
100120928743,OX128EE,51.97114584074513
10094280227,OX127GS,76.85779400945691
10094278763,SN6 8FS,85.95657799146207
10095811713,OX116FD,128.11324092381238
100120917334,SN7 7UJ,47.20169488482379
100120907049,OX135EG,7.280109889280518
100120906858,OX144HN,99.60923651951158
100120921111,OX1 5RS,28.635642126552707
10014022602,OX1 5AL,36.235341863986875
100120916872,SN7 8LZ,37.05401462729781
10090583006,SN6 8DF,24.05624451154478
10093196051,OX2 9JS,276.2842738919463
10090580341,OX128DN,31.122758553836473
10014027402,SN7 7LN,13.45362404707371
10014069564,OX145HP,13.038404810405298
10014082039,OX110RQ,0.19798989875198963
100120936137,OX120QW,0
100120905252,OX143GH,37.12142238654117
10094277602,OX128HN,73.53220042947426
100120924349,SN6 8SW,49.76946855251722
10095811904,OX2 9DR,66.54235944120836
100120936967,OX128DZ,0
100121310806,OX128QA,69.58448102845921
100120918073,SN7 7EN,38.948684188300895
100120922476,OX2 9QT,35.35533905932738
10095810109,OX129SA,49.64876634922564
100120911607,OX144LD,16.1245154965971
10014026166,OX136RH,77.05841939723393
10015833259,SN7 8BQ,339.85214564573215
100120918064,SN7 8BE,34.9857113690718
10014022813,OX135FP,90.80198235721508
100120930756,OX127HW,72.83543093852057
100120930351,OX127DF,56.08029957123981
100120912315,OX143YN,37.589892258425
100120901692,OX143UZ,36.40054944640259
10095810503,OX2 9BP,49.15856080072107
10095811633,OX141XE,314.83871759998107
10014025819,SN7 8HY,107.5174404457249
10014030425,OX128AT,9.055385138137417
100120933004,OX135HU,97.20082304178294
10093199527,SN6 8FP,35.86537327284344
100120904924,OX141PH,45.522945862499384
100120897901,OX136QF,44.14748010928823
100121310451,OX127LQ,50.99019513592785
10014077967,OX2 0LN,110.47624178980746
10094277578,OX128GN,42.25937647434462
10014078179,OX141BA,101.59232254457027
100120913046,OX136HH,0
10093197687,OX136GA,89.21266838293423
10014022479,SN6 8ET,123.03251602726817
100120926629,OX129RX,42.04759208325728
100121313129,OX144AY,82.15229759416349
10014081866,SN7 7FX,4.892381833023575
100120900845,OX145QD,52.630789467763066
10014072749,OX2 9FZ,1
10014083319,OX144FF,0.4882622246406019
100120917830,SN7 7AS,26.994191967884007
10093200123,OX135GR,0.4992995093336414
100120909935,OX136LY,41.773197148410844
10094279475,OX144BG,31.717834100104433
10014082133,OX2 9NN,12.083045973594572
10014072924,OX128JW,47.38143096192854
100120904422,OX145RP,49.09175083453431
100120913402,OX142HN,50.635955604688654
10093196670,OX144FU,34.64917026425166
100120915091,OX110PE,80.11242100947892
10094277798,OX128LG,93.62616407821305
10014079155,OX2 9FE,24.20743687382041
100120917699,SN7 7BZ,26.627053911388696
10095811034,OX120GZ,23.263449873148414
100120898624,OX136JF,14.317821063276353
10014029267,SN7 7HH,14.7648230602334
100120926377,OX129YA,33.421549934136806
100120920911,OX1 5NU,53.14132102234569
10014081264,OX128DE,26.772347674429934
100120915316,OX110QP,43.829214001622255
10014027490,SN7 7LQ,111.30588483993108
100120912041,OX142HD,9.848857801796104
10093196102,OX136FR,51.12582322076832
10093198489,OX129QH,53.0306967708139
10090579451,OX2 9AT,38.18709860671728
10015735940,SN7 8SQ,204.22999804144465
10094279004,OX120GE,27.48850123234542
100121308811,OX1 5BG,0
100120901662,OX144DU,29.154759474226502
100120924704,SN6 8FL,36.76955262170047
10014071361,OX143QQ,45.880278987817846
100120907423,OX136NZ,0
10095809499,SN7 8NU,111.59412932587118
10014080212,OX110FA,81.34494452638098
100120921948,OX2 9DD,55.758407437802596
100120899764,OX142BJ,34.655446902326915
10014027931,OX110FA,0
10014025777,OX2 0NA,45.34313619501854
10014082993,OX144RY,1
10014072937,OX135QP,0
100121312114,OX141AJ,39.95861984602174
100120928844,OX127PL,19.313207915827967
10014072272,OX2 9AT,34.34316817070834
100120937191,OX128HB,29.410882339705484
100120923771,SN6 8HA,35.014282800023196
10014083414,OX135LN,62.80127387243033
200001869994,OX135BB,11.045361017187261
10094279615,OX2 9AT,116.91470138524338
100120931242,OX136PX,0
10093197177,OX116FY,68.27183094072922
100120918649,SN7 8JA,5.385164807134504
10025745031,SN6 8TS,154.83204610156704
100120907415,OX145EU,32.984845004941285
10094279275,SN6 8FU,17.08035713914547
10014081731,OX110QG,3.1622776601683795
100121313496,OX145SL,25.96150997149434
100121311946,OX136PD,20.12461179749811
10014068820,OX119NG,44.04543109109048
100120902993,OX141JX,33.093860457797206
100120927224,OX120NU,26.90724809414742
10014027967,OX144SB,132.59336333316233
100120905782,OX136LW,74.73285756613352
100120913263,OX143XR,27.586228448267445
10090579775,OX144RY,87.0976463516667
100120933252,OX119QH,53.81449618829484
10014030474,OX2 9FW,56.32051136131489
10090582890,OX128BL,21.540659228538015
10014024221,OX145BT,9.667290209764612
100121313194,OX144NJ,27.294688127912362
100120911217,OX145RG,5
10094280636,OX142FB,62.58520991416302
10014082695,OX110QG,2.23606797749979
10090578948,SN6 8AD,63.150178147001924
10094276969,OX135AQ,31.304951684997057
10014068020,OX145GA,0
10014029056,OX128QA,54.08326913195984
10014080907,OX2 9GF,4.156164096878946
10014029370,OX145HE,27.85677655436824
10014068617,OX128PD,48.373546489791295
10090578374,OX128GA,26.987671259319466
10095811044,OX120GT,73.52510115600842
100121312071,OX141RL,97.12878049270464
100120921163,OX1 5RX,10.198039027185569
10014024910,OX110TR,53.46026561849464
10095810608,OX143AN,260.5803048966182
10014079781,OX1 5AQ,41.30375285612676
100120899481,OX144BZ,78.64006358087347
100121314872,SN7 8ER,0
10014020555,OX119EY,31.016124838541646
10014071494,OX145FR,26.92582403567252
100120926605,OX127EN,24.08318915758459
100120929766,OX129HG,6.324555320336759
100120898185,OX141LU,34.16411128655071
10094280680,OX142FB,95.12280956742168
10014023821,OX129UW,34.058772731852805
100120921054,OX2 9TL,3
100120904317,OX142NW,0
100120933826,OX110RT,64.63745044476924
10014072513,OX120HL,43.18564576337837
100121391290,OX141DQ,6.082762530298219
10094281493,OX120GW,13.95256607224512
10014070156,OX129TF,31.906112267087636
100121311195,OX129TA,52.354560450833695
10014024260,OX135PG,6.082762530298219
10014028541,OX120AN,41.19465984809196
100120931281,OX135QL,270.60118255469615
100120928501,OX120NR,66.75327707311455
10024871108,SN6 8EF,45.07037275193545
10014081576,OX119NT,6.082762530298219
10094277065,OX144GW,6.235014033646429
100120907021,OX144JH,28.635642126552707
100120911715,OX136SG,61.5223536610881
10014028033,OX110QB,147.31259280862582
10014023827,OX141LD,61.032778078668514
100120931878,OX143BG,26.92582403567252
100120906384,OX142RS,62.03224967708329
10014023213,OX145BG,26.68332812825267
100120923634,OX2 9TL,69.26037828369117
100120925012,OX129HZ,0
100120932819,OX144AA,153.62942426501507
100120913594,OX143UP,26.92582403567252
10095810502,OX2 9BP,62.43564686939649
10025274861,OX127BY,65.1990981532667
100120924125,SN6 8EA,56.462376853972415
10094279660,OX1 5LD,64.47046610656761
10014024705,OX144NT,42.190046219457976
10090582012,OX129QA,409.0684539291682
10014078779,OX135NR,31.39202765035391
100120927192,OX127NJ,32.01562118716424
100120900033,OX136SR,38.63935817272331
100120917350,SN7 7HF,9.433981132056603
10094280586,OX142AY,11.068229307352953
100120917091,SN7 7DH,65
10014028909,OX135QD,0
100120908518,OX145FX,30.22973701504506
100120923246,OX2 9TD,22.20360331117452
10090581619,OX144AT,73.00684899377592
10014080898,OX2 9GF,23.627697729576575
10093195654,OX129FF,11.180339887498949
10014083777,OX145AJ,37.05401462729781
10094277692,OX128GN,39.24408872685605
100120910169,OX136EA,91.78235124467012
10090579277,OX110UD,19.141904293985977
10090583180,OX144BA,64.13267497929586
100120911475,OX143SJ,80.15609770940699
10024879949,OX143GA,23.44082976346627
10014029614,OX110QT,84.17244204607586
100120926499,OX120NF,22.090722034374522
100120897571,OX135DE,42.5440947723653
100120899330,OX142EW,24.351591323771842
100120907303,OX145SL,0
100121311292,OX129EE,38.897300677553446
100120930746,OX127EL,61.204574992397426
100120917413,SN7 7DP,36.89173349139343
10094278378,OX128GR,36.702437248787945
100120916583,SN7 7BE,59.8390649993694
10094279736,OX135NW,25.781157848301124
100120915280,OX110ED,45.09988913511872
10015389276,OX142JQ,37.371352664861476
10094277507,SN7 7RY,42.79988084096185
10094280373,OX127GB,18.358564758714117
10090579447,OX141BN,4.685915065372351
100120934224,SN7 7PZ,42
100120899620,OX142QJ,23.08679276123039
10014072120,OX144RX,44.94441010848846
10090579283,OX144RR,32.71550244152423
10014081168,OX2 9RQ,26.887664457903675
100120924394,SN6 8BH,53.23532661682466
100120910289,OX141PE,11.154496851058454
10014078267,OX143QQ,34.785054261852174
10014020848,SN6 8NU,6.708203932499369
100120926169,OX128BJ,42.65076083731734
100120929441,OX127JL,42.5440947723653
10094277629,OX135DY,75.93307579706168
100120933550,OX119JF,50.80354318352215
10093199313,OX135GJ,13.92695228684044
100120916615,SN7 7JN,0
100121314210,SN6 8EY,68.00735254367721
10093200176,OX135GT,7.070007072139205
10093199355,SN7 7GY,47.71848803139082
10095811095,OX120GT,213.45778154003565
100120900512,OX143QF,41.10960958218893
10093200139,OX135GS,27.220699844030424
100120937527,OX128JJ,60.530983801686226
100120924359,SN6 8TE,50.80354318352215
100120923686,SN6 8SX,52.80151512977634
100121313567,OX145TE,7
100120915409,OX110LN,38.48376280978771
10014083833,SN7 7FU,59.135437767890075
100120910718,OX141QR,57.311287718903245
100120911481,OX141EW,0
100121363896,OX141RX,96.38464608017192
100120925065,OX129HW,37.16180835212409
100121311474,OX135JY,46.010868281309364
100120904267,OX144EX,47.43416490252569
10093196788,OX136FY,10.936983130619494
100120926467,OX120NN,24.20743687382041
10014026281,OX136RH,205.7692882818036
100120905958,OX141BW,13.342061310020034
10090578907,SN7 7GD,83.06254571106611
100121390960,OX135AG,49.678969393496885
10014081235,OX2 9RW,28.97669580889073
