origin,destination,distance
10014069839,OX119HB,44.4
10014069930,SN7 7LW,0
10014070109,SN7 8QR,147.95
10014070157,OX129TF,57.51
10014070199,OX128RB,62.79
10014070335,OX119QQ,50.11
10014070487,SN6 8HY,136.45
10014070518,OX145EB,20.31
10014070560,OX127BG,62.31
10014070596,SN7 8DL,25.97
10014070610,SN7 7QD,0
10014070625,SN6 8TS,0
10014070638,OX127AU,22.03
10014070659,OX145TL,73.13
10014070704,OX117HJ,39.23
10014070728,SN7 7NB,40.03
10014070792,OX144AU,19.73
10014070891,OX129FA,88.86
10014070918,OX145RF,31.9
10014070974,OX135PX,0
10014070994,OX144RY,135.96
10014071054,OX143PN,48.04
10014071056,SN7 7QR,23.78
10014071132,SN6 8RE,28.61
10014071160,SN6 8RJ,69.88
10014071186,OX141TL,18
10014071198,SN7 7AB,1
10014071367,OX129GY,23.71
10014071425,OX135HX,26.01
10014071441,OX141TB,0
10014071594,OX143PG,26.18
10014071630,OX145GU,29.54
10014071653,OX144SA,84.47
10014071667,OX142EP,31.25
10014071681,SN6 8LA,126.07
10014071750,SN6 8LF,270.66
10014071754,OX144SH,49.51
10014071786,OX136AP,261.04
10014071795,OX129BW,4.12
10014071808,OX143QH,5.83
10014072044,OX143PY,11.65
10014072100,OX110SZ,72.2
10014072103,OX127DY,29.16
10014072114,OX119QG,36.43
10014072164,OX141GN,39.86
10014072167,OX120HU,59.84
10014072249,SN7 7NW,229.34
10014072262,OX129XA,1
10014072292,OX128LX,142.46
10014072416,OX110GG,354.39
10014072447,OX127DY,32.46
10014072460,SN6 8JX,29.74
10014072575,OX142SB,14.77
10014072612,OX129GX,1.41
10014072621,OX129GX,0
10014072709,OX145BA,9.06
10014072793,SN7 8FD,10.77
10014072803,OX143PU,29.54
10014072991,OX129GX,1
10014077757,OX143QN,1
10014077778,OX145GA,0
10014077823,OX143PY,45.9
10014077860,OX143ZF,33.12
10014077862,OX143ZB,33.25
10014077906,OX2 0LW,30.9
10014078066,OX145FP,11.71
10014078162,OX143PE,18.03
10014078207,SN7 7JW,30.42
10014078211,OX2 9LS,55.46
10014078337,OX129BF,94.24
10014078449,OX143PF,47.56
10014078451,OX143PF,48.48
10014078492,OX119PN,0
10014078568,OX129SE,13.93
10014078586,OX2 9ND,14.15
10014078657,OX2 9DA,60.85
10014078755,OX144DR,3.16
10014078789,OX145NL,1
10014078804,SN7 7EA,26.18
10014078817,SN7 8BH,164.26
10014078823,OX128PT,30.69
10014078858,OX135LY,20.11
10014078888,OX142AP,42.73
10014078894,OX143AB,72.45
10014078895,OX110EJ,16.47
10014079003,OX135FE,36.7
10014079036,SN7 8BG,11.18
10014079111,SN7 7RR,44.12
10014079150,"SN7 8BT,SN7 8BU",223.37
10014079260,OX141TL,49.22
10014079357,OX110DE,83.67
10014079433,OX144AE,43.06
10014079472,OX135AS,27.9
10014079487,OX141DZ,61.87
10014079589,OX129RB,1
10014079599,OX141GQ,46.49
10014079641,OX141GQ,27.4
10014079763,OX145HY,29.84
10014079792,OX143ZD,47.4
10014079819,SN6 8LZ,1037.07
10014079947,OX141SQ,6.3
10014079954,OX141JF,35.54
10014079968,OX2 0QH,19.03
10014080037,OX129RF,13.93
10014080060,OX2 9GE,0
10014080091,OX141LW,51.41
10014080117,OX119FF,25.61
10014080151,OX2 9EU,58.43
10014080155,OX127PF,0
10014080183,SN7 8PB,66.27
10014080215,OX145FP,40.51
10014080221,SN6 8LQ,48.68
10014080281,OX144TE,210.94
10014080292,OX129QE,834.65
10014080312,OX141JL,17.5
10014080326,OX128NZ,703.32
10014080395,OX143US,0
10014080524,OX145FW,59.27
10014080555,OX145FW,24.24
10014080563,OX145FW,26.93
10014080673,OX142JW,104
10014080723,SN7 8JX,0
10014080774,OX143HG,30.37
10014080780,OX144DR,98.02
10014080927,OX136SF,51.17
10014080957,OX136AN,78.75
10014081184,OX2 9RQ,63.45
10014081225,OX2 9RW,48.25
10014081234,OX2 9RW,9.11
10014081309,OX128FF,23.49
10014081354,OX128FF,43.41
10014081381,OX128FL,26.47
10014081613,SN7 7FR,26.11
10014081651,OX120JJ,60.44
10014081771,SN7 7FR,53.83
10014081791,SN7 7GA,32.28
10014081855,SN7 7FX,61.93
10014081946,SN7 7YS,63.58
10014081966,SN7 7FY,25.42
10014081967,SN7 7FY,27.75
10014081999,SN7 7FZ,59.27
10014082015,SN7 7FZ,27.81
10014082091,OX141LW,0.52
10014082125,OX2 9BL,82.31
10014082191,OX129TH,352.92
10014082205,OX294BL,94
10014082243,OX129RG,34.39
10014082466,OX128NE,56.48
10014082482,OX128GF,201.68
10014082522,OX143PX,24.05
10014082598,OX110QG,2.24
10014082645,OX110QG,2
10014082702,OX110QG,1
10014082711,OX127JQ,26.49
10014082737,OX110GF,142.33
10014082749,OX110GF,142.88
10014082781,OX110QH,28.19
10014082852,OX129FF,12.05
10014082861,OX129FF,12.17
10014082923,OX136DJ,233.66
10014083048,OX144EJ,40.24
10014083104,OX144RZ,125.34
10014083127,OX144TF,249.42
10014083168,OX110TR,64.22
10014083276,OX127LB,17.81
10014083321,OX144FF,14.92
10014083401,SN7 8NZ,66.15
10014083417,OX136AB,152.06
10014083451,OX142JJ,205.03
10014083455,OX143LX,0.49
10014083459,OX110GG,422.24
10014083470,OX136BH,116.06
10014083504,OX143PG,49.03
10014083597,SN7 7QD,252.57
10014083619,SN7 7DS,12.09
10014083739,"OX2 9SX,OX2 9LZ",1
10014083745,SN6 8SW,70.06
10014083783,SN6 8TZ,52.45
10014083868,OX141ZB,6.44
10015336553,OX143AT,31.5
10015398491,OX135HL,37.71
10015400502,OX128JG,44.96
10015411517,OX1 5JQ,38.71
10015449123,OX128AX,8.68
10015684017,OX128LN,92.54
10015773313,OX110RQ,67.67
10015833529,SN7 8BQ,330.82
10024874973,OX142JP,881.51
10024876072,OX143QB,22.75
10024876967,OX120PX,36.91
10024878780,OX110DE,44.52
10024881832,SN6 8TH,125.6
10024887863,OX129PF,275.95
10024888843,OX129QY,679.35
10024889817,SN7 8BW,271.32
10024889875,OX129QF,1011.24
10024889991,OX128LJ,74.95
10024891984,SN7 8NR,242.86
10024892987,SN7 8DZ,308.25
10024893968,SN7 7QS,577.23
10024897257,OX129EA,67.21
10024898230,OX110PT,212.14
10024898265,OX144RP,37.53
10024900146,OX127QQ,542
10024900197,OX128QT,148.7
10024981790,OX1 5DE,237.6
10025219995,OX145UB,33.96
10025221185,OX141SH,33.78
10025226755,OX141NP,59.81
10025234454,OX136RD,22.74
10025276788,SN7 7PU,170.95
10025285769,OX120DH,84.37
10025368814,OX144TF,101.14
10025369423,OX143BD,489.33
10025498148,SN6 8TQ,444.5
10025499463,SN7 8DY,189.26
10025700249,SN7 8BF,111.81
10025700463,OX143NF,67.88
10025741836,SN7 7PR,178.62
10025744948,OX117HH,169.97
10025968910,OX120DX,170.63
10025969272,OX129QY,225.17
10090578347,OX144UA,38.34
10090578425,OX127EY,10.91
10090578569,OX143HT,13.3
10090578634,OX143HE,13.37
10090578749,OX129WF,48.72
10090578816,OX141JL,2.72
10090578855,SN6 8SL,48.82
10090578863,SN7 7PR,571.29
10090578867,OX2 0JR,51.07
10090578937,SN6 8EX,305.49
10090578969,SN7 7NE,62.86
10090578996,OX129QE,92.9
10090579116,OX110TS,10.22
10090579179,OX110TT,30.24
10090579290,OX110TZ,28.16
10090579315,OX110SZ,23.03
10090579460,OX2 9GJ,11.75
10090579609,OX2 9GP,23.75
10090579931,OX129SQ,49.05
10090580036,OX119HS,111.38
10090580070,OX144SE,225.36
10090580094,OX110TD,263.72
10090580311,OX144RY,5.11
10090580335,OX128DN,28.38
10090580415,OX144AF,108.23
10090580430,OX144SE,69.68
10090580475,OX2 9GS,36.79
10090580556,OX120EY,725.16
10090580606,OX135FJ,37.02
10090580672,SN6 8RP,43.79
10090580748,SN6 8RT,60.35
10090580823,SN7 8PZ,753.68
10090580829,SN7 7GJ,39.52
10090580835,SN7 7GJ,29.83
10090580846,SN7 7GJ,46.7
10090580850,SN7 7GJ,28.74
10090580884,OX141JA,0.38
10090580900,OX116DL,57.4
10090580909,OX116DB,29.29
10090580926,OX116DB,70.24
10090580931,OX116DD,57.17
10090580932,OX116DD,53.93
10090580971,OX116DB,44.08
10090581042,OX145BU,23
10090581046,OX145BU,22.14
10090581214,OX2 9LU,60.93
10090581217,OX135NB,247.97
10090581220,OX129WE,64.99
10090581234,OX129WE,36.81
10090581251,OX129SS,53.08
10090581271,OX129WF,18.06
10090581373,OX136FG,48.46
10090581411,OX141RL,119.45
10090581418,OX117BF,679.35
10090581550,OX2 9SP,8.87
10090581683,SN7 8PH,81.67
10090581685,SN7 8PH,85.9
10090581743,SN6 8DB,26.56
10090581795,OX2 9GP,4.52
10090581811,OX2 9GQ,2.24
10090581854,SN6 8TZ,46.9
10090581979,OX120HP,6.39
10090582009,SN6 8FE,87.72
10090582025,OX1 5SA,49.68
10090582067,OX2 9GY,43.59
10090582169,OX2 9FU,43.44
10090582265,OX144FL,65.06
10090582276,OX144FL,74.55
10090582391,OX135FR,11.87
10090582480,OX145DH,21.63
10090582509,SN7 8RR,35.65
10090582515,OX145HP,47.13
10090582551,OX127FA,9.16
10090582569,OX120FH,0.52
10090582582,OX2 9EQ,51.79
10090582657,OX129TZ,40.75
10090582658,OX129TZ,37.04
10090582659,OX129TZ,38.19
10090582699,OX129BE,55.82
10090582758,OX117HJ,95.89
10090582808,OX128FU,26.94
10090582844,OX128HS,91.39
10090582861,OX128FW,57.63
10090582862,OX128FW,55.95
10090582865,OX128FW,50.77
10090583046,SN6 8DH,25.85
10090583077,SN6 8DJ,0.46
10090583106,OX110RW,519.94
10090583110,OX135PH,579.35
10090583157,OX136FJ,23.88
10090583209,OX136GD,37.81
10090583239,OX135HH,315.19
10090583300,OX144FR,30.17
10092011588,OX144SB,61.54
10092011595,OX144SB,61.54
10092019244,OX110RA,0.26
10093195416,OX116EX,25.77
10093195485,OX145GB,17.67
10093195570,OX145GE,37.81
10093195669,OX2 9PH,0.49
10093195724,OX136FP,38.59
10093195740,OX136FQ,25.05
10093195764,OX143RG,26.93
10093195784,OX2 9FY,29.62
10093195806,OX116FB,51.19
10093195824,OX116EE,63.9
10093195879,OX116FA,37.4
10093195881,OX116EZ,36.23
10093196032,OX141ZE,162.69
10093196061,SN7 8PF,42.1
10093196133,OX136FS,35.82
10093196165,OX129WL,58.06
10093196196,OX129WP,49.19
10093196236,OX129WN,27.09
10093196258,OX144FT,4.81
10093196396,OX143JU,12.16
10093196419,SN6 8FD,5.56
10093196499,OX129SS,43.43
10093196524,OX128FY,5.31
10093196536,OX128FY,12.92
10093196543,OX142AA,52.64
10093196595,OX129ZD,23.37
10093196607,OX129ZD,65.46
10093196672,OX144FU,57.09
10093196686,OX144FU,81.94
10093196725,OX144FX,58.16
10093196740,OX144FX,42.09
10093196882,OX119FL,50.11
10093196959,OX110FG,33.9
10093197056,OX110FH,82.79
10093197067,OX110FH,38.43
10093197138,OX116FJ,33.24
10093197142,OX116FJ,0.41
10093197186,OX116FY,57.5
10093197213,OX116FY,79.68
10093197345,OX116GB,16.95
10093197352,OX116GB,32.5
10093197425,OX144GA,28.02
10093197451,OX144GA,4.87
10093197485,OX144GD,27.72
10093197534,OX2 9BA,80.19
10093197567,OX135GB,22.38
10093197583,OX135FX,56.71
10093197641,OX136FZ,26.03
10093197643,OX136FZ,27.18
10093197649,OX136GB,29.64
10093197762,SN6 8DD,20.39
10093197766,SN6 8DD,12.39
10093197805,OX144GE,10.03
10093197821,OX144GG,52.18
10093197929,OX136LL,68.96
10093197933,OX128GD,3.16
10093198047,OX127FB,100.86
10093198063,OX127FB,29.62
10093198219,OX142JW,59.02
10093198240,SN6 8FF,19.7
10093198285,OX136GF,28.66
10093198330,SN7 8JB,18.9
10093198361,OX110GF,142.05
10093198429,OX116GJ,33.14
10093198450,OX135GG,38.72
10093198520,OX116GY,85.46
10093198652,SN7 7GS,37.13
10093198692,OX116GY,28.05
10093198710,OX116GY,30.15
10093198711,OX116GY,20.62
10093198736,OX120HD,0.37
10093198758,OX116GZ,0.94
10093198834,OX110FS,37.71
10093198890,OX110FR,30.03
10093198896,OX110FT,56.05
10093198976,OX110FW,28.43
10093198983,OX110FW,45.04
10093198992,OX110GA,25.76
10093199000,OX110FP,5.51
10093199185,OX129FF,92.88
10093199198,OX2 9PW,8.17
10093199209,SN6 8FL,47.69
10093199248,OX143NB,53.2
10093199252,OX116GE,53.13
10093199378,SN7 7GS,17.35
10093199560,OX145BU,17.74
10093199578,OX1 5AB,46.03
10093199590,OX141SY,22.69
10093199668,SN7 7NQ,48.34
10093199716,SN7 7ND,66.5
10093199754,SN7 7NH,41.43
10093199855,SN7 7SX,27.61
10093199917,OX127FL,42.85
10093199959,OX127FL,36.53
10093199967,OX127FL,30.8
10093199993,OX135FT,86.86
10093200163,OX135GS,114.64
10093200223,OX135GW,0.62
10094276932,OX144GQ,23.34
10094276958,OX2 8QN,0.52
10094277007,OX128DB,20.89
10094277077,OX144GY,11.9
10094277140,OX128GG,23.05
10094277143,OX128GJ,25.82
10094277268,SN7 7US,27.66
10094277316,OX129FF,0.46
10094277348,OX142BY,59.12
10094277352,OX2 9SY,23.34
10094277356,OX2 9SY,28.23
10094277545,OX128GP,35.86
10094277564,OX128GQ,68.03
10094277598,OX128HN,65.82
10094277622,OX128GQ,33.53
10094277677,OX128GL,34.17
10094277715,OX129PX,139.06
10094277718,OX128LB,71.94
10094277726,OX135NL,0.16
10094277785,OX129DH,49.23
10094277807,OX144EL,69.18
10094277859,OX136GR,125.71
10094277862,OX144DZ,141.01
10094277867,OX144DZ,136.48
10094278069,OX144DT,75.18
10094278072,OX144DT,74.36
10094278129,OX136RJ,78.86
10094278233,OX136GJ,10.55
